Olympic_Jahr;Sportart;Gewicht in kg;Groesse in cm ;BMI
1932;Alpinism;62,2;167,4;22,2
1936;Alpinism;62,11;167,22;22,2
1948;Alpinism;60,88;164,88;22,4
1952;Alpinism;67,38;168,69;23,7
1956;Alpinism;66,54;168,54;23,4
1960;Alpinism;66,6;170;23
1964;Alpinism;66,81;169,88;23,2
1968;Alpinism;68,81;172,88;23
1972;Alpinism;68,58;172,89;22,9
1976;Alpinism;68,8;172,33;23,2
1980;Alpinism;71,4;171,52;24,3
1984;Alpinism;72,19;171;24,7
1988;Alpinism;70,55;171,03;24,1
1992;Alpinism;71,74;172,44;24,1
1996;Alpinism;70,56;173,25;23,5
2000;Alpinism;71,83;173,2;23,9
2004;Alpinism;73,87;173,69;24,5
2008;Alpinism;72,92;173,64;24,2
2012;Alpinism;73,3;175,25;23,9
2016;Alpinism;74,58;175,26;24,3
1980;Archery;58,58;162,62;22,2
1984;Archery;59,61;165,58;21,7
1988;Archery;60,12;165,53;21,9
1992;Archery;61,24;166,95;22
1996;Archery;60,23;166,32;21,8
2000;Archery;61,29;167,46;21,9
2004;Archery;60,18;165,82;21,9
2008;Archery;61,02;166,17;22,1
2012;Archery;61,31;166,95;22
2016;Archery;60,24;166,56;21,7
1928;Athletics;56,14;166,57;20,2
1932;Athletics;57,09;167,36;20,4
1936;Athletics;58,5;169,25;20,4
1948;Athletics;57,92;168,33;20,4
1952;Athletics;58,27;166,42;21
1956;Athletics;57,32;166,05;20,8
1960;Athletics;58,9;167,1;21,1
1964;Athletics;57,3;165,48;20,9
1968;Athletics;56,14;165,79;20,4
1972;Athletics;56,07;164,72;20,7
1976;Athletics;55,77;165,44;20,4
1980;Athletics;57,32;167,84;20,3
1984;Athletics;55,55;165,43;20,3
1988;Athletics;56,14;166,17;20,3
1992;Athletics;56,43;165,67;20,6
1996;Athletics;57,87;165,65;21,1
2000;Athletics;58,56;166,23;21,2
2004;Athletics;59,33;166,83;21,3
2008;Athletics;57,54;165,76;20,9
2012;Athletics;58,47;166,61;21,1
2016;Athletics;58,88;166,52;21,2
1976;Cycling;66,23;170,23;22,9
1980;Cycling;68,72;172,96;23
1984;Cycling;66,89;172,89;22,4
1988;Cycling;68,2;174,19;22,5
1992;Cycling;68,41;174,75;22,4
1996;Cycling;68,01;174,85;22,2
2000;Cycling;68,17;174,63;22,4
2004;Cycling;69,03;175,2;22,5
2008;Cycling;70,21;177,15;22,4
2012;Cycling;69,73;175,9;22,5
2016;Cycling;70,51;175,69;22,8
2000;Diving;99;169,36;34,5
2004;Diving;114,17;170,17;39,4
2008;Diving;115,18;170,64;39,6
2012;Diving;109,08;170,54;37,5
2016;Diving;107,44;170,56;36,9
1992;Gymnastics;59,94;170,12;20,7
1996;Gymnastics;60,18;169,08;21,1
2000;Gymnastics;58,77;168,79;20,6
2004;Gymnastics;58,15;168,31;20,5
2008;Gymnastics;58;168,37;20,5
2012;Gymnastics;58,88;169,32;20,5
2016;Gymnastics;58,54;167,29;20,9
1956;Rugby;64;169;22,4
1960;Rugby;59,33;167,67;21,1
1964;Rugby;55;165,25;20,1
1968;Rugby;56;163,8;20,9
1972;Rugby;53,5;159,75;21
1976;Rugby;57;165;20,9
1984;Rugby;66;170;22,8
1988;Rugby;55,8;167;20
1992;Rugby;58,88;167,5;21
1996;Rugby;56,63;167,75;20,1
2000;Rugby;55,64;165,93;20,2
2004;Rugby;55,64;167,18;19,9
2008;Rugby;57,27;166,73;20,6
2012;Rugby;55,29;167,29;19,8
2016;Rugby;55,38;169,31;19,3
1996;Softball;57;160;22,3
1928;Swimming;57,5;166,3;20,8
1932;Swimming;56,92;166,69;20,5
1936;Swimming;58,68;168,16;20,8
1948;Swimming;57,47;169,47;20
1952;Swimming;58,35;166,51;21
1956;Swimming;58,8;167,36;21
1960;Swimming;58,43;166,95;21
1964;Swimming;56,25;165,2;20,6
1968;Swimming;57,23;166,75;20,6
1972;Swimming;57,22;165,65;20,9
1976;Swimming;56,38;165,68;20,5
1980;Swimming;58,5;169;20,5
1984;Swimming;55,36;164,48;20,5
1988;Swimming;55,85;166,46;20,2
1992;Swimming;58,18;168,02;20,6
1996;Swimming;57,66;166,82;20,7
2000;Swimming;59,02;167,41;21,1
2004;Swimming;60,23;167,91;21,4
2008;Swimming;59,38;167,75;21,1
2012;Swimming;59,12;167,85;21
2016;Swimming;59,39;167,67;21,1
1996;Triathlon;59,61;167,33;21,3
2000;Triathlon;61,62;168,53;21,7
2004;Triathlon;60,31;167,69;21,4
2008;Triathlon;61,59;168,1;21,8
2012;Triathlon;60,97;166,76;21,9
2016;Triathlon;60,95;167,82;21,6
