Olympic_Jahr;Sportart;Gewicht in kg;Groesse in cm;BMI
1904;Aeronautics;75;170;26
1908;Aeronautics;96;185,25;28
1920;Aeronautics;93,5;178;29,5
1924;Aeronautics;100;189;28
1936;Aeronautics;110;185;32,1
1948;Aeronautics;100;187;28,6
1952;Aeronautics;112,33;187,67;31,9
1956;Aeronautics;113;188,5;31,8
1960;Aeronautics;106,44;183,63;31,6
1964;Aeronautics;106,54;184,77;31,2
1968;Aeronautics;111,79;188,07;31,6
1972;Aeronautics;100,63;185;29,4
1976;Aeronautics;98,4;183,6;29,2
1980;Aeronautics;96,57;185,07;28,2
1984;Aeronautics;99,9;183,8;29,6
1988;Aeronautics;101,86;183;30,4
1992;Aeronautics;100,4;183,33;29,9
1996;Aeronautics;100,11;183,11;29,9
2000;Aeronautics;96,16;182,79;28,8
2004;Aeronautics;94,57;181,9;28,6
2008;Aeronautics;96,06;182,72;28,8
2012;Aeronautics;95,29;181,76;28,8
2016;Aeronautics;98,21;180,47;30,2
1908;Art Competitions;74,33;177;23,7
1920;Art Competitions;75;171;25,6
1928;Art Competitions;73;170;25,3
1932;Art Competitions;78;177,67;24,7
1936;Art Competitions;87,5;176,5;28,1
1948;Art Competitions;72,5;175,5;23,5
1952;Art Competitions;78;182;23,5
1956;Art Competitions;84,75;186,5;24,4
1960;Art Competitions;74,74;178,68;23,4
1964;Art Competitions;73,53;176,2;23,7
1968;Art Competitions;72,83;178,64;22,8
1972;Art Competitions;73,27;180,38;22,5
1976;Art Competitions;74,78;182,11;22,5
1980;Art Competitions;72,55;181,25;22,1
1984;Art Competitions;76,57;181,88;23,1
1988;Art Competitions;75,33;181,69;22,8
1992;Art Competitions;76,3;182,39;22,9
1996;Art Competitions;78,6;184,37;23,1
2000;Art Competitions;77,72;183,04;23,2
2004;Art Competitions;78,8;184,11;23,2
2008;Art Competitions;79,67;184,73;23,3
2012;Art Competitions;81,12;185,21;23,6
2016;Art Competitions;79,74;185,74;23,1
1908;Badminton;69;171,67;23,4
1912;Badminton;66;165;24,2
1920;Badminton;73,5;165,5;26,8
1924;Badminton;77,5;161;29,9
1936;Badminton;67;170;23,2
1948;Badminton;107;187;30,6
1952;Badminton;78;180,83;23,9
1956;Badminton;79,18;181,45;24
